Area,Item,TIME,Consumption,Production
Norway,PIG,2006,116148.0,116345.0
Norway,PIG,2007,125926.0,117735.0
Norway,PIG,2008,124638.0,122692.0
Norway,PIG,2009,123848.0,131977.0
Norway,PIG,2010,127891.0,137566.0
Norway,PIG,2011,131952.0,139799.0
Norway,PIG,2012,131250.0,131559.0
Norway,PIG,2013,129326.0,127516.0
Norway,PIG,2014,131882.0,128820.0
Norway,PIG,2015,139767.0,134669.0
Norway,PIG,2016,142106.0,137716.0
Norway,PIG,2017,141654.0,137250.0
Norway,PIG,2018,143537.0,137316.0
Norway,PIG,2019,145023.0,132242.0
Norway,PIG,2020,146666.0,131041.0
Ethiopia,SHEEP,1993,60607.0,35800.0
Ethiopia,SHEEP,1994,60517.0,35870.0
Ethiopia,SHEEP,1995,60161.0,35970.0
Ethiopia,SHEEP,1996,60558.0,36070.0
Ethiopia,SHEEP,1997,59288.0,36100.0
Ethiopia,SHEEP,1998,61683.0,36140.0
Ethiopia,SHEEP,1999,61395.0,36200.0
Ethiopia,SHEEP,2000,60398.0,36000.0
Ethiopia,SHEEP,2001,66134.0,37750.0
Ethiopia,SHEEP,2002,79386.0,47720.0
Ethiopia,SHEEP,2003,85270.0,53165.0
Ethiopia,SHEEP,2004,101425.0,60409.0
Ethiopia,SHEEP,2005,109451.0,68000.0
Ethiopia,SHEEP,2006,128209.0,79000.0
Ethiopia,SHEEP,2007,145049.0,85000.0
Ethiopia,SHEEP,2008,138189.0,81500.0
Ethiopia,SHEEP,2009,144274.0,85000.0
Ethiopia,SHEEP,2010,142616.0,86000.0
Ethiopia,SHEEP,2011,138295.0,85000.0
Ethiopia,SHEEP,2012,143842.0,86000.0
Ethiopia,SHEEP,2013,148137.0,87450.0
Ethiopia,SHEEP,2014,101709.0,93940.0
Ethiopia,SHEEP,2015,38553.0,93899.0
Ethiopia,SHEEP,2016,45383.0,98657.0
Ethiopia,SHEEP,2017,55940.0,100461.0
Ethiopia,SHEEP,2018,56098.0,105910.0
Ethiopia,SHEEP,2019,58801.0,127991.0
Ethiopia,SHEEP,2020,60044.0,137752.0
India,POULTRY,1990,391342.0,361800.0
India,POULTRY,1991,522365.0,493200.0
India,POULTRY,1992,540181.0,511200.0
India,POULTRY,1993,608148.0,576900.0
India,POULTRY,1994,625000.0,591300.0
India,POULTRY,1995,641823.0,605700.0
India,POULTRY,1996,659871.0,621000.0
India,POULTRY,1997,664556.0,624600.0
India,POULTRY,1998,737949.0,698000.0
India,POULTRY,1999,810041.0,770000.0
India,POULTRY,2000,903782.0,864000.0
India,POULTRY,2001,962917.0,923000.0
India,POULTRY,2002,1126755.0,1088000.0
India,POULTRY,2003,1242100.0,1210000.0
India,POULTRY,2004,1340202.0,1304000.0
India,POULTRY,2005,1439783.0,1403000.0
India,POULTRY,2006,1554199.0,1518000.0
India,POULTRY,2007,1789784.0,1755000.0
India,POULTRY,2008,1916970.0,1884000.0
India,POULTRY,2009,2119686.0,2087000.0
India,POULTRY,2010,2222015.0,2193000.0
India,POULTRY,2011,2505201.0,2483100.0
India,POULTRY,2012,2707058.0,2681600.0
India,POULTRY,2013,2872854.0,2848922.0
India,POULTRY,2014,3064955.0,3045100.0
India,POULTRY,2015,3283691.0,3263810.0
India,POULTRY,2016,3428045.0,3444763.0
India,POULTRY,2017,3540624.0,3766940.0
India,POULTRY,2018,3700344.0,4061790.0
India,POULTRY,2019,3737320.0,4179963.0
India,POULTRY,2020,3955651.0,3550636.0
Ukraine,BEEF,1992,1521645.0,1655600.0
Ukraine,BEEF,1993,1286140.0,1379000.0
Ukraine,BEEF,1994,1158696.0,1427000.0
Ukraine,BEEF,1995,981644.0,1185900.0
Ukraine,BEEF,1996,796546.0,1047800.0
Ukraine,BEEF,1997,782870.0,929600.0
Ukraine,BEEF,1998,681260.0,793300.0
Ukraine,BEEF,1999,648542.0,791200.0
Ukraine,BEEF,2000,831100.0,754300.0
Ukraine,BEEF,2001,551617.0,645700.0
Ukraine,BEEF,2002,562849.0,703800.0
Ukraine,BEEF,2003,562402.0,722900.0
Ukraine,BEEF,2004,539893.0,618000.0
Ukraine,BEEF,2005,552620.0,561800.0
Ukraine,BEEF,2006,588650.0,567400.0
Ukraine,BEEF,2007,530023.0,546100.0
Ukraine,BEEF,2008,500446.0,479700.0
Ukraine,BEEF,2009,446684.0,453500.0
Ukraine,BEEF,2010,419771.0,427700.0
Ukraine,BEEF,2011,393351.0,399100.0
Ukraine,BEEF,2012,376746.0,388500.0
Ukraine,BEEF,2013,407653.0,427800.0
Ukraine,BEEF,2014,391847.0,412700.0
Ukraine,BEEF,2015,350632.0,384000.0
Ukraine,BEEF,2016,339340.0,376000.0
Ukraine,BEEF,2017,316916.0,363500.0
Ukraine,BEEF,2018,316051.0,358900.0
Ukraine,BEEF,2019,289175.0,369500.0
Ukraine,BEEF,2020,289120.0,345400.0
Ethiopia,POULTRY,1993,36000.0,36000.0
Ethiopia,POULTRY,1994,35971.0,36000.0
Ethiopia,POULTRY,1995,35970.0,35970.0
Ethiopia,POULTRY,1996,36170.0,36170.0
Ethiopia,POULTRY,1997,36300.0,36300.0
Ethiopia,POULTRY,1998,36962.0,36960.0
Ethiopia,POULTRY,1999,37241.0,37240.0
Ethiopia,POULTRY,2000,37602.0,37600.0
Ethiopia,POULTRY,2001,49837.0,49840.0
Ethiopia,POULTRY,2002,54057.0,54064.0
Ethiopia,POULTRY,2003,50242.0,50160.0
Ethiopia,POULTRY,2004,47112.0,47096.0
Ethiopia,POULTRY,2005,42581.0,42560.0
Ethiopia,POULTRY,2006,45209.0,45200.0
Ethiopia,POULTRY,2007,46250.0,46240.0
Ethiopia,POULTRY,2008,48603.0,48589.0
Ethiopia,POULTRY,2009,49793.0,50400.0
Ethiopia,POULTRY,2010,57496.0,59200.0
Ethiopia,POULTRY,2011,53942.0,53920.0
Ethiopia,POULTRY,2012,60499.0,60480.0
Ethiopia,POULTRY,2013,61860.0,61840.0
Ethiopia,POULTRY,2014,41058.0,68809.0
Ethiopia,POULTRY,2015,12296.0,73272.0
Ethiopia,POULTRY,2016,13135.0,71931.0
Ethiopia,POULTRY,2017,13701.0,67498.0
Ethiopia,POULTRY,2018,14025.0,71261.0
Ethiopia,POULTRY,2019,14025.0,58477.0
Ethiopia,POULTRY,2020,14523.0,67803.0
Saudi Arabia,POULTRY,1990,475191.0,265000.0
Saudi Arabia,POULTRY,1991,525059.0,285000.0
Saudi Arabia,POULTRY,1992,473659.0,303000.0
Saudi Arabia,POULTRY,1993,450339.0,285000.0
Saudi Arabia,POULTRY,1994,432053.0,296000.0
Saudi Arabia,POULTRY,1995,565801.0,309000.0
Saudi Arabia,POULTRY,1996,548728.0,328000.0
Saudi Arabia,POULTRY,1997,617672.0,423000.0
Saudi Arabia,POULTRY,1998,700823.0,435000.0
Saudi Arabia,POULTRY,1999,780345.0,418000.0
Saudi Arabia,POULTRY,2000,814724.0,483000.0
Saudi Arabia,POULTRY,2001,890329.0,505000.0
Saudi Arabia,POULTRY,2002,862936.0,467000.0
Saudi Arabia,POULTRY,2003,880611.0,468000.0
Saudi Arabia,POULTRY,2004,829991.0,480000.0
Saudi Arabia,POULTRY,2005,976389.0,537000.0
Saudi Arabia,POULTRY,2006,947117.0,548000.0
Saudi Arabia,POULTRY,2007,1003039.0,559000.0
Saudi Arabia,POULTRY,2008,1077171.0,564000.0
Saudi Arabia,POULTRY,2009,1180693.0,570000.0
Saudi Arabia,POULTRY,2010,1237304.0,575000.0
Saudi Arabia,POULTRY,2011,1238449.0,469000.0
Saudi Arabia,POULTRY,2012,1239501.0,450000.0
Saudi Arabia,POULTRY,2013,1414464.0,569000.0
Saudi Arabia,POULTRY,2014,1435249.0,525000.0
Saudi Arabia,POULTRY,2015,1539566.0,550000.0
Saudi Arabia,POULTRY,2016,1523632.0,600000.0
Saudi Arabia,POULTRY,2017,1293805.0,650000.0
Saudi Arabia,POULTRY,2018,1343429.0,710000.0
Saudi Arabia,POULTRY,2019,1355132.0,800000.0
Saudi Arabia,POULTRY,2020,1373788.0,900000.0
